# Figura 3: Modelo Bifásico de Degradação
# t(dias),Mn(kg/mol),Mn/Mn0,Xc_aparente,Fase
347,52.46,0.2914,0.700,Fase2_Cristalina
348,52.25,0.2903,0.700,Fase2_Cristalina
349,52.04,0.2891,0.700,Fase2_Cristalina
350,51.83,0.2879,0.700,Fase2_Cristalina
351,51.62,0.2868,0.700,Fase2_Cristalina
352,51.41,0.2856,0.700,Fase2_Cristalina
353,51.20,0.2844,0.700,Fase2_Cristalina
354,50.99,0.2833,0.700,Fase2_Cristalina
355,50.79,0.2822,0.700,Fase2_Cristalina
356,50.58,0.2810,0.700,Fase2_Cristalina
357,50.38,0.2799,0.700,Fase2_Cristalina
358,50.17,0.2787,0.700,Fase2_Cristalina
359,49.97,0.2776,0.700,Fase2_Cristalina
360,49.77,0.2765,0.700,Fase2_Cristalina
361,49.56,0.2753,0.700,Fase2_Cristalina
362,49.36,0.2742,0.700,Fase2_Cristalina
363,49.16,0.2731,0.700,Fase2_Cristalina
364,48.96,0.2720,0.700,Fase2_Cristalina
365,48.76,0.2709,0.700,Fase2_Cristalina
366,48.56,0.2698,0.700,Fase2_Cristalina
367,48.36,0.2687,0.700,Fase2_Cristalina
368,48.16,0.2676,0.700,Fase2_Cristalina
369,47.97,0.2665,0.700,Fase2_Cristalina
370,47.77,0.2654,0.700,Fase2_Cristalina
371,47.58,0.2643,0.700,Fase2_Cristalina
372,47.38,0.2632,0.700,Fase2_Cristalina
373,47.19,0.2621,0.700,Fase2_Cristalina
374,46.99,0.2611,0.700,Fase2_Cristalina
375,46.80,0.2600,0.700,Fase2_Cristalina
376,46.61,0.2589,0.700,Fase2_Cristalina
377,46.42,0.2579,0.700,Fase2_Cristalina
378,46.22,0.2568,0.700,Fase2_Cristalina
379,46.03,0.2557,0.700,Fase2_Cristalina
380,45.84,0.2547,0.700,Fase2_Cristalina
381,45.66,0.2536,0.700,Fase2_Cristalina
382,45.47,0.2526,0.700,Fase2_Cristalina
383,45.28,0.2516,0.700,Fase2_Cristalina
384,45.09,0.2505,0.700,Fase2_Cristalina
385,44.91,0.2495,0.700,Fase2_Cristalina
386,44.72,0.2484,0.700,Fase2_Cristalina
387,44.53,0.2474,0.700,Fase2_Cristalina
388,44.35,0.2464,0.700,Fase2_Cristalina
389,44.17,0.2454,0.700,Fase2_Cristalina
390,43.98,0.2443,0.700,Fase2_Cristalina
391,43.80,0.2433,0.700,Fase2_Cristalina
392,43.62,0.2423,0.700,Fase2_Cristalina
393,43.44,0.2413,0.700,Fase2_Cristalina
394,43.26,0.2403,0.700,Fase2_Cristalina
395,43.08,0.2393,0.700,Fase2_Cristalina
396,42.90,0.2383,0.700,Fase2_Cristalina
397,42.72,0.2373,0.700,Fase2_Cristalina
398,42.54,0.2363,0.700,Fase2_Cristalina
399,42.36,0.2353,0.700,Fase2_Cristalina
400,42.18,0.2344,0.700,Fase2_Cristalina
